REQUEST_DATE,SCENARIO_SEQ,REQUEST_SEQ,AreaStartX,AreaEndX,AreaStartY,AreaEndY,SITE_NAME,XPOS,YPOS,FA_SEQ,SISUL_CD,DUH_EQUIP_ID,PCI,CELL_NO,TOWER_HEIGHT,BUILDING_HEIGHT,ANTENNA_NM,ORIENT,E_TILT,MTILT
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌지하차도AAU_1,127-6-1.28,37-30-11.149,11,201934295,1011958933,127,0,2,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,90,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌지하차도AAU_2,127-6-1.027,37-30-11.014,11,2019Y2402,1011958933,127,0,2,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,240,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌지하차도AAU_3,127-6-1.027,37-30-11.014,11,2019Y7644,1011958933,127,0,2,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,310,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,잠실동교회2AAU_3,127-6-1.6,37-30-15.439,11,2019Y2407,1011958933,128,2,3,21,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,240,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,잠실동교회2AAU_2,127-6-1.6,37-30-15.439,11,2019Y5179,1011958933,128,2,3,21,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,180,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,잠실동교회2AAU_1,127-6-1.6,37-30-15.439,11,2019Y8414,1011958933,128,2,3,21,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,60,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,S송파석촌_DUH10_30,127-6-43.39,37-30-10.35,11,201921025,1011958933,0,0,0,0,VIRTUAL,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌애신빌딩AAU_1,127-5-55.299,37-30-13.077,11,2019Y3149,1011958934,444,8,2,12,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,10,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌애신빌딩AAU_2,127-5-55.299,37-30-13.077,11,2019Y2091,1011958934,444,8,2,12,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,160,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌애신빌딩AAU_3,127-5-55.299,37-30-13.077,11,2019Y6731,1011958934,444,8,2,12,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,260,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌주유소AAU_2,127-5-59.531,37-30-13.594,11,2019Y1676,1011958934,773,0,2,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,290,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌주유소AAU_1,127-5-59.531,37-30-13.594,11,2019Y5337,1011958934,773,0,2,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,220,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌AAU_1,127-6-4.085,37-30-25.021,11,201930926,1011958934,789,4,2,30,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,40,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌AAU_3,127-6-4.085,37-30-25.021,11,201936889,1011958934,789,4,2,30,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,260,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌벨루가호텔AAU_3,127-5-57.11,37-30-21.659,11,2019Y0680,1011958934,789,4,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,260,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,S송파석촌_DUH10_33,127-6-43.39,37-30-10.35,11,201921028,1011958934,0,0,0,0,VIRTUAL,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼학사길AAU_3,127-5-42.379,37-30-2.63,11,2019Y1612,1011958935,157,0,3,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,280,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼학사길AAU_1,127-5-42.379,37-30-2.63,11,201931087,1011958935,157,0,3,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,80,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼학사길AAU_2,127-5-42.379,37-30-2.63,11,2019Y8108,1011958935,157,0,3,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,200,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼전동3AAU_3,127-5-43.567,37-30-15.668,11,2019Y0915,1011958935,160,6,3,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,290,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼전동3AAU_2,127-5-43.567,37-30-15.668,11,201930993,1011958935,160,6,3,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,170,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼전동3AAU_1,127-5-43.567,37-30-15.668,11,201935527,1011958935,160,6,3,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,15,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼학사공원AAU_3,127-5-45.673,37-30-21.596,11,2019Y3086,1011958935,161,8,3,9,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,275,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼학사공원AAU_1,127-5-45.673,37-30-21.596,11,2019Y4904,1011958935,161,8,3,9,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,130,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼학사공원AAU_2,127-5-45.673,37-30-21.596,11,2019Y7574,1011958935,161,8,3,9,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,195,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,S송파석촌_DUH10_35,127-6-43.39,37-30-10.35,11,201921030,1011958935,0,0,0,0,VIRTUAL,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,백제석촌고분2AAU_3,127-6-3.803,37-30-7.324,11,201936401,1011958945,114,4,2,12,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,260,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,백제석촌고분2AAU_2,127-6-3.803,37-30-7.324,11,2019Y1723,1011958945,114,4,2,12,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,200,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,백제석촌고분2AAU_1,127-6-3.803,37-30-7.324,11,2019Y7772,1011958945,114,4,2,12,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,40,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,백제고분로2AAU_3,127-5-59.58,37-30-3.68,11,201932227,1011958945,479,6,2,9,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,300,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,백제고분로2AAU_2,127-5-59.58,37-30-3.68,11,201937097,1011958945,479,6,2,9,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,180,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,백제고분로2AAU_1,127-5-59.58,37-30-3.68,11,2019Y5342,1011958945,479,6,2,9,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,40,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌벨루가호텔AAU_2,127-5-57.111,37-30-21.066,11,201933468,1011958945,931,8,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,180,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌벨루가호텔AAU_1,127-5-57.111,37-30-21.066,11,201935867,1011958945,931,8,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,90,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,S송파석촌_DUH10_31,127-6-43.39,37-30-10.35,11,201921026,1011958945,0,0,0,0,VIRTUAL,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,배명야구장2AAU_1,127-5-49.019,37-29-59.056,11,2019Y4446,1011958946,140,2,3,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,50,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,배명야구장2AAU_2,127-5-49.019,37-29-59.056,11,2019Y7732,1011958946,140,2,3,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,130,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,백제고분로AAU_3,127-5-50.011,37-30-7.062,11,201930377,1011958946,141,4,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,320,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,백제고분로AAU_2,127-5-50.011,37-30-7.062,11,2019Y4169,1011958946,141,4,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,150,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,백제고분로AAU_1,127-5-50.011,37-30-7.062,11,2019Y4996,1011958946,141,4,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,60,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,S송파석촌_DUH10_32,127-6-43.39,37-30-10.35,11,201921027,1011958946,0,0,0,0,VIRTUAL,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼전그나라빌딩AAU_1,127-5-47.509,37-29-59.759,11,201934626,1011958947,154,6,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,20,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼전그나라빌딩AAU_3,127-5-47.509,37-29-59.759,11,201936516,1011958947,154,6,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,280,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼전그나라빌딩AAU_2,127-5-47.509,37-29-59.759,11,2019Y5463,1011958947,154,6,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,160,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,배명사거리AAU_2,127-5-48.33,37-30-7.468,11,201935303,1011958947,156,10,3,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,270,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,배명사거리AAU_1,127-5-48.33,37-30-7.468,11,2019Y4845,1011958947,156,10,3,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,180,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,S송파석촌_DUH10_34,127-6-43.39,37-30-10.35,11,201921029,1011958947,0,0,0,0,VIRTUAL,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,배명중교2AAUS_1,127-5-34.729,37-29-59.299,11,20193BF6H,1011958948,166,6,2,9,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,배명중교2AAUS_2,127-5-34.729,37-29-59.299,11,20193BGK1,1011958948,166,6,2,9,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,시각복지관AAU_1,127-5-38.57,37-30-21.1,11,201932623,1011958948,531,0,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,120,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,시각복지관AAU_2,127-5-38.57,37-30-21.1,11,2019Y5208,1011958948,531,0,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,220,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼전AAU_1,127-5-35.389,37-30-11.479,11,201933663,1011958948,929,4,4,27,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,20,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼전AAU_3,127-5-35.389,37-30-11.479,11,2019Y6398,1011958948,929,4,4,27,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,280,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,S송파석촌_DUH10_36,127-6-43.39,37-30-10.35,11,201921031,1011958948,0,0,0,0,VIRTUAL,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼전AAU_2,127-5-35.389,37-30-11.479,11,201938709,1011958952,527,6,4,27,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,130,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌고분역AAU_1,127-5-44.936,37-30-10.989,11,2019Y1262,1011958952,527,6,3,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,10,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,송파구민회관AAUS_1,127-5-38.182,37-30-8.852,11,20193AHYR,1011958952,527,6,3,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,170,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,S송파석촌_DUH10_43,127-6-43.39,37-30-10.35,11,201921042,1011958952,0,0,0,0,VIRTUAL,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌AAU_2,127-6-4.085,37-30-25.021,11,2019Y2178,1012376985,434,10,2,30,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,160,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌한흥빌딩AAUS_2,127-6-12.21,37-30-24.879,11,20193AS1K,1012376985,434,10,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,290,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌한흥빌딩AAUS_1,127-6-12.21,37-30-24.879,11,20193AS1J,1012376985,434,10,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,220,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,배명고교AAUS_2,127-5-54.98,37-30-2.149,11,20193AISM,1012376985,457,6,3,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,120,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,배명고교AAUS_3,127-5-54.98,37-30-2.149,11,20193AISN,1012376985,457,6,3,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,300,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,배명고교AAUS_1,127-5-54.98,37-30-2.149,11,20193AIRP,1012376985,457,6,3,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,20,0,15
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌가락로AAUS_1,127-6-10.506,37-29-59.228,11,20193AI65,1012376985,461,0,3,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,80,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌가락로AAUS_2,127-6-10.506,37-29-59.228,11,20193AI66,1012376985,461,0,3,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,250,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,S송파석촌_DUH10_48,127-6-43.39,37-30-10.35,11,20192A1IN,1012376985,0,0,0,0,VIRTUAL,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌아리스빌라AAUS_1,127-6-9.421,37-30-18.293,11,20193AS1M,1012377020,208,6,2,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,170,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌아리스빌라AAUS_2,127-6-9.421,37-30-18.293,11,20193AS1H,1012377020,208,6,2,15,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,300,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,S송파석촌_DUH10_46,127-6-43.39,37-30-10.35,11,20192A1IJ,1012377020,0,0,0,0,VIRTUAL,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌동2AAUS_1,127-5-56.074,37-30-17.745,11,20193AYPT,1012377022,478,4,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,80,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌동2AAUS_2,127-5-56.074,37-30-17.745,11,20193AYPU,1012377022,478,4,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,200,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼학사로AAUS_3,127-5-50.624,37-30-17.921,11,20193AHYH,1012377022,529,2,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,340,0,15
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼학사로AAUS_1,127-5-50.624,37-30-17.921,11,20193AITT,1012377022,529,2,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,120,0,15
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,삼학사로AAUS_2,127-5-50.624,37-30-17.921,11,20193AITU,1012377022,529,2,2,18,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,220,0,15
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌그랜드AAUS_1,127-5-51.004,37-30-22.376,11,20193AS1F,1012377022,971,0,2,21,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,50,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌그랜드AAUS_2,127-5-51.004,37-30-22.376,11,20193AS1L,1012377022,971,0,2,21,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,300,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,석촌호수_수변무대AAUS_1,127-5-54.119,37-30-24.283,11,20193AYRE,1012377022,971,0,2,3,AAU10-3.5G-32T(SS)_SSB_HOTSPOT_G14H65V15,0,0,0
2019-10-02,1,1,127-05-34.047,127-06-12.601,37-29-56.971,37-30-26.196,S송파석촌_DUH10_49,127-6-43.39,37-30-10.35,11,20192A1IQ,1012377022,0,0,0,0,VIRTUAL,0,0,0
